;latitude;longitude;count;percentage-pos
0;46.00546;8.97143;4309;0.6936644233000696
1;46.18396;6.10237;1;1.0
2;46.19278;9.01703;260;0.6384615384615384
3;46.20222;6.14569;23;0.9565217391304348
4;46.20576;6.14161;53842;0.6369191337617474
5;46.22925;7.45972;6;0.6666666666666667
6;46.25451;6.954060000000001;52;0.7692307692307692
7;46.38318;6.23955;3;1.0
8;46.43301;6.91143;14;0.5714285714285714
9;46.52178;6.632999999999999;5701;0.7354850026311173
10;46.53989;6.5881;4;1.0
11;46.6195;7.05674;111;0.8468468468468469
12;46.75118;7.62166;319;0.9216300940438872
13;46.80418;7.159739999999998;680;0.6323529411764706
14;46.85212;9.52965;243;0.9012345679012346
15;46.94761;7.40645;8639;0.7096886213682139
16;46.97559;9.07318;12;1.0
17;46.99179;6.931;392;0.778061224489796
18;47.02814;8.63619;43;0.5116279069767442
19;47.04714;8.32518;476;0.7163865546218487
20;47.05048;8.30635;1138;0.8216168717047452
21;47.05953;6.752280000000002;47;0.8723404255319149
22;47.08557;8.442060000000001;58;0.9310344827586207
23;47.10792;8.7601;24;0.875
24;47.13713;7.24608;212;0.7830188679245282
25;47.14059;8.42934;2;1.0
26;47.14923;7.2611;680;0.8147058823529412
27;47.17242;8.51745;91;0.7912087912087912
28;47.20818;7.530839999999999;158;0.7468354430379747
29;47.21526;7.7960699999999985;10;1.0
30;47.22983;8.83884;3;0.6666666666666667
31;47.25767000000001;8.59702;26;0.7307692307692308
32;47.2792;8.66259;3;1.0
33;47.28864;7.95697;20;0.6
34;47.29646;8.83431;1;1.0
35;47.3264;8.797789999999997;1;1.0
36;47.34426;7.90755;105;0.8857142857142857
37;47.34927;8.33343;14;0.9285714285714286
38;47.35795;8.67649;81;0.7530864197530864
39;47.36493;7.344530000000002;91;0.8461538461538461
40;47.36667;8.55;12;0.9166666666666666
41;47.3711;8.54323;74;0.8108108108108107
42;47.37184;8.1891;135;0.9481481481481482
43;47.38283;8.530710000000001;76573;0.7650085539289305
44;47.38615;9.27916;115;0.8869565217391304
45;47.38804;8.4426;7;0.8571428571428572
46;47.38878;8.04826;350;0.8485714285714285
47;47.39367;7.74137;42;0.8809523809523809
48;47.40905;8.77208;2;1.0
49;47.42214;9.37554;1352;0.8247041420118343
50;47.42324;7.4875;12;0.8333333333333334
51;47.42391;9.37477;89;0.9438202247191011
52;47.44237;7.84871;3;1.0
53;47.4566;8.30059;651;0.7188940092165899
54;47.47181;8.45631;62;1.0
55;47.48124;7.727139999999999;47;0.8085106382978724
56;47.48629;8.21102;3;1.0
57;47.49675;8.734169999999999;959;0.7069864442127216
58;47.49706;8.567639999999999;71;0.9577464788732395
59;47.51667;9.43333;2;1.0
60;47.51668;7.5873300000000015;7;0.5714285714285714
61;47.51844000000001;8.038780000000001;23;0.8695652173913043
62;47.54048;7.833310000000001;22;0.9090909090909091
63;47.54237;9.15713;10;1.0
64;47.55773;7.593610000000001;8381;0.6870301873284811
65;47.61115;8.89444;76;0.7894736842105263
66;47.65051;9.17504;16;0.875
67;47.72139;8.62473;488;0.8176229508196722
