;latitude;longitude;count;percentage-pos
0;46.00546;8.97143;1055;0.6346226383812756
1;46.19278;9.01703;50;0.598193232560124
2;46.20222;6.14569;4;0.9993077657824
3;46.20576;6.14161;11821;0.6563034366564522
4;46.25451;6.954060000000001;13;0.8473961279441077
5;46.52178;6.632999999999999;1389;0.7865426353993706
6;46.6195;7.05674;17;0.7037745126170925
7;46.75118;7.62166;97;0.8848457460544558
8;46.80418;7.159739999999998;190;0.7474656286497514
9;46.85212;9.52965;104;0.8525296744873452
10;46.94761;7.40645;1992;0.7463992529117562
11;46.97559;9.07318;2;0.999990772969805
12;46.99179;6.931;74;0.8597284040307849
13;47.02814;8.63619;28;0.5362596817333585
14;47.04714;8.32518;96;0.7329395366550221
15;47.05048;8.30635;221;0.8714531027579359
16;47.05953;6.752280000000002;4;0.556092035
17;47.08557;8.442060000000001;1;0.999999823026897
18;47.10792;8.7601;6;0.75567594683875
19;47.13713;7.24608;48;0.852961427242751
20;47.14923;7.2611;141;0.722966792568257
21;47.20818;7.530839999999999;60;0.7743881414960336
22;47.25767000000001;8.59702;6;0.8238360988421399
23;47.2792;8.66259;1;0.26802349000000003
24;47.28864;7.95697;7;0.999174129476763
25;47.29646;8.83431;4;0.8919891516079758
26;47.34426;7.90755;36;0.9141703582160399
27;47.34927;8.33343;1;0.9999863859466
28;47.35795;8.67649;24;0.9040547603358994
29;47.36493;7.344530000000002;18;0.9950533564261389
30;47.3711;8.54323;15;0.872359751200614
31;47.37184;8.1891;34;0.9080131087387909
32;47.38283;8.530710000000001;21673;0.7706583253861784
33;47.38615;9.27916;26;0.9793171431680827
34;47.38878;8.04826;92;0.8896726795780863
35;47.39367;7.74137;16;0.8698811443649896
36;47.40905;8.77208;2;0.99833314
37;47.42214;9.37554;808;0.8990238802911282
38;47.42324;7.4875;1;0.99932798
39;47.42391;9.37477;49;0.9662515069627596
40;47.4566;8.30059;205;0.8343585178711534
41;47.48124;7.727139999999999;9;0.7989257324985002
42;47.48629;8.21102;1;0.99380816
43;47.49675;8.734169999999999;229;0.8094040756173567
44;47.49706;8.567639999999999;28;0.9273086310416729
45;47.51667;9.43333;4;0.749752503578375
46;47.51668;7.5873300000000015;1;0.99976969
47;47.51844000000001;8.038780000000001;7;0.4403427341342572
48;47.54048;7.833310000000001;10;0.9839252720454258
49;47.54237;9.15713;7;0.999680914292945
50;47.55773;7.593610000000001;2110;0.7303864530913593
51;47.61115;8.89444;30;0.8823304846329203
52;47.65051;9.17504;6;0.6699562406440689
53;47.72139;8.62473;195;0.9059361447603467
